Narration,Date,Withdrawal,Deposit,Closing,Keyword
UPI SIMPL CFSIMPL YESBANK YESB UPI INTENT,18/01/2023,110.00,0.0,"3,25,542.64",SIMPL
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,18/01/2023,29.00,0.0,"3,25,513.64",PAYMENTTOROPPENTRA
UPI RANJEET KUMAR PAYTMQR TY J J NRA F PAYTM PYTM PAYMENT FROM PHONE,18/01/2023,450.00,0.0,"3,25,063.64",UPI
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,19/01/2023,"1,000.00",0.0,"3,24,063.64",INDIANCLEARINGCORPOR
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,19/01/2023,25.00,0.0,"3,24,038.64",PAYMENTTOROPPENTRA
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,19/01/2023,"2,000.00",0.0,"3,22,038.64",INDIANCLEARINGCORPOR
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,19/01/2023,"2,000.00",0.0,"3,20,038.64",INDIANCLEARINGCORPOR
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,19/01/2023,"3,000.00",0.0,"3,17,038.64",INDIANCLEARINGCORPOR
UPI CHARAN TEA STALL PAYTMQR U XWAJHY FX PAYTM PYTM PAYMENT FROM PHONE,19/01/2023,15.00,0.0,"3,17,023.64",UPI
UPI RATNADEEP SUPER MARK PAYTM PAYTM PYTM PAYMENT F ROM PHONE,19/01/2023,113.30,0.0,"3,16,910.34",RATNADEEP
UPI YATRA YATRA RZP AXISBANK UTIB UPI PAYMENT,19/01/2023,"5,005.00",0.0,"3,11,905.34",YATRA
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC NEXTBILLION TECHNOL,20/01/2023,"3,000.00",0.0,"3,08,905.34",INDIANCLEARINGCORPOR
UPI ZERODHA ZERODHABROKING YESBANK YESB Z,20/01/2023,"3,000.00",0.0,"3,05,905.34",ZERODHA
UPI KUCHI NAGARAJU PAYTMQR W CD ELKKK PAYTM PYTM PAYMENT FROM PHONE,20/01/2023,105.00,0.00,"3,05,800.34",UPI
UPIRET,20/01/2023,0.00,"1,482.99","3,07,283.33",UPIRET
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,21/01/2023,"5,000.00",0.00,"3,02,283.33",INDIANCLEARINGCORPOR
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,21/01/2023,20.00,0.00,"3,02,263.33",PAYMENTTOROPPENTRA
UPI KANDLU ABHILASH PATR PAYT M KKBK PAYMENT FROM PHONE,21/01/2023,22.00,0.00,"3,02,241.33",UPI
UPI INDIAN INST OF TECH SBIEPAY IIOTBS SBI SBIN IND IAN INSTITUTE O,22/01/2023,"1,000.00",0.00,"3,01,241.33",UPI
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,22/01/2023,35.00,0.00,"3,01,206.33",PAYMENTTOROPPENTRA
UPI SOUTH INDIA SHOPPING Q YBL YESB YBLUPI PAYMENT FROM PH ONE,22/01/2023,"1,860.00",0.00,"2,99,346.33",SOUTH
UPI T RAKESH YADAV Q YBL YESB Y BLUPI PAYMENT FROM PHONE,22/01/2023,219.00,0.00,"2,99,127.33",UPI
UPI MR RAVI KUMAR ARUKU RAVI KUMAR SBI SBIN PAYMENT FROM P HONE,23/01/2023,20.00,0.00,"2,99,107.33",UPI
UPI KUMAR FAST FOOD PAYTMQR M FZVSRZ AXV PAYTM PYTM PAYMENT FROM PHONE,23/01/2023,95.00,0.00,"2,99,012.33",FOOD
UPI SAFE GOLD SAFEGOLD AXL UTIB AXLUPI PAYMENT FROM PHONE,23/01/2023,500.00,0.0,"2,98,512.33",SAFEGOLD
UPI KOYYALA PREM KUMAR PAYTMQR Y LSWWHQ RML PAYTM PYTM PAYMENT FROM PHONE,23/01/2023,110.00,0.0,"2,98,402.33",UPI
UPI BHOURA RAM PAYTMQR Y R HK PAYTM PYTM PA YMENT FROM PHONE,23/01/2023,75.00,0.0,"2,98,327.33",UPI
UPI V DIGITALS PAYTMQR S O ZOULA PAYTM PYTM PA YMENT FROM PHONE,23/01/2023,110.00,0.0,"2,98,217.33",UPI
UPI RATHLAVATH VINOD BHARATPE YESBANKLTD YESB YESUPI PAY MENT FROM PHONE,24/01/2023,133.00,0.0,"2,98,084.33",UPI
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,24/01/2023,"5,000.00",0.0,"2,93,084.33",INDIANCLEARINGCORPOR
UPI IDLY COM MADHAPUR PAYTM PAY TM PYTM OID,24/01/2023,40.00,0.0,"2,93,044.33",IDLY
UPI KUMARI HIMANI Q YBL YESB YB LUPI PAYMENT FROM PHONE,24/01/2023,140.00,0.0,"2,92,904.33",UPI
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,25/01/2023,20.00,0.0,"2,92,884.33",PAYMENTTOROPPENTRA
UPI KUMAR FAST FOOD PAYTMQR M FZVSRZ AXV PAYTM PYTM PAYMENT FROM PHONE,25/01/2023,150.00,0.0,"2,92,734.33",FOOD
UPI MADDUR GOPAL Q YBL YESB YBL UPI PAYMENT FROM PHONE,25/01/2023,113.00,0.0,"2,92,621.33",UPI
UPI MR SANGADI VENKATA BHARATPE YESBANKLTD YESB YESUPI P AY TO BHARATPE ME,25/01/2023,50.00,0.0,"2,92,571.33",UPI
UPI RELIANCE JIO INFOCOM JIO CITIBANK CI TI RTGSMI JIO BR VQBFWK,26/01/2023,61.00,0.0,"2,92,510.33",JIO
UPI SRINIVASA RAO BODHI Q YBL SB IN PAYMENT FROM PHON E,26/01/2023,200.00,0.0,"2,92,310.33",UPI
UPI SIDDI MY SOUTH INDIA GPAY OKBIZAXIS UTIB PAY MENT FROM PHONE,26/01/2023,20.00,0.0,"2,92,290.33",SOUTH
UPI FOOD WORLD BHARATPE FBPE FDRL PAY TO BHARATP E ME,26/01/2023,"1,330.00",0.0,"2,90,960.33",FOOD
POS XXXXXX IIT BHUBANESWAR,26/01/2023,670.00,0.0,"2,90,290.33",IIT
POS XXXXXX IIT BHUBANESWAR,26/01/2023,670.00,0.0,"2,89,620.33",IIT
POS XXXXXX IIT BHUBANESWAR,26/01/2023,670.00,0.0,"2,88,950.33",IIT
POS XXXXXX IIT BHUBANESWAR,26/01/2023,-670.00,0.0,"2,89,620.33",IIT
POS XXXXXX IIT BHUBANESWAR,26/01/2023,670.00,0.0,"2,88,950.33",IIT
UPI BHARATPE CASHFREEBHARATP YESBANK YES B PAYMENT FROM PHONE,27/01/2023,"1,000.00",0.0,"2,87,950.33",UPI
UPI SAFE GOLD SAFEGOLD YBL YESB YBLUPI PAYMENT FROM PHONE,27/01/2023,"1,001.00",0.0,"2,86,949.33",SAFEGOLD
UPI PRADEEP KUMAR PAYTMQR F LK SRRXGS PAYTM PYTM PAYMENT FROM PHONE,28/01/2023,120.00,0.0,"2,86,829.33",UPI
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,30/01/2023,20.00,0.0,"2,86,809.33",PAYMENTTOROPPENTRA
UPI BHEEMA ROHITH ROHITHBHEEMA AXL CNRB PAYMENT FROM PHONE,30/01/2023,0.00,"4,000.00","2,90,809.33",UPI
UPI BHEEMA ROHITH ROHITHBHEEMA AXL CNRB PAYMENT FROM PHONE,30/01/2023,0.00,"1,350.00","2,92,159.33",UPI
UPI INDIANCLEARINGCORPOR BSESTARMFRZP IC ICI ICIC DC PAYVIARAZOR PAY,30/01/2023,"5,000.00",0.00,"2,87,159.33",INDIANCLEARINGCORPOR
UPI KUMAR FAST FOOD PAYTMQR M FZVSRZ AXV PAYTM PYTM PAYMENT FROM PHONE,30/01/2023,200.00,0.00,"2,86,959.33",FOOD
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,30/01/2023,30.00,0.00,"2,86,929.33",PAYMENTTOROPPENTRA
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,30/01/2023,40.00,0.00,"2,86,889.33",PAYMENTTOROPPENTRA
UPI THIRUMALA DESHINI PAYTMQR U FT R I PAYTM PYTM PAYMENT FROM PHONE,30/01/2023,30.00,0.00,"2,86,859.33",UPI
UPI INDIAN OVEN Q YBL YESB YBLU PI PAYMENT FROM PHONE,30/01/2023,129.00,0.00,"2,86,730.33",UPI
UPI MOHAMMED TAJUDDIN SH BHARATPE YESBANKLTD YESB YESUPI VERIFIED MERCHANT,30/01/2023,20.00,0.00,"2,86,710.33",UPI
UPI V DIGITALS PAYTMQR S O ZOULA PAYTM PYTM PA YMENT FROM PHONE,30/01/2023,102.00,0.00,"2,86,608.33",UPI
UPI RAZORPAY SOFTWARE PV RPY QRROPPENTRA N ICICI ICIC DC PAYMENTTOROPPENTRA,31/01/2023,10.00,0.00,"2,86,598.33",PAYMENTTOROPPENTRA
UPI SAFE GOLD SAFEGOLD AXL UTIB AXLUPI PAYMENT FROM PHONE,31/01/2023,"1,000.00",0.00,"2,85,598.33",SAFEGOLD
